Tamanho,AVL_Media,RB_Media,B1_Media,B5_Media,B10_Media
1,3.00,4.00,0.00,8.00,8.00
101,7898.00,4808.40,0.00,5343.40,6205.20
201,17712.40,10485.30,0.00,11551.80,13444.40
301,28451.00,16671.50,0.00,18221.30,21051.20
401,39840.80,22967.30,0.00,24968.20,28674.80
501,51234.30,29393.70,0.00,31703.70,36516.30
601,63223.30,36112.50,0.00,38835.80,44890.10
701,75691.70,42803.30,0.00,45672.10,53235.10
801,87931.90,49531.40,0.00,53269.50,61507.10
901,100883.40,56800.20,0.00,60812.90,69835.10
1001,112957.10,63665.20,0.00,67983.10,77887.00
1101,126389.50,70796.40,0.00,75669.60,86346.30
1201,138936.60,77742.50,0.00,83313.50,94646.40
1301,152211.00,84721.30,0.00,90610.00,103542.70
1401,166028.00,92445.30,0.00,98643.90,111758.80
1501,179158.60,99592.10,0.00,106303.70,120185.20
1601,192518.90,106377.00,0.00,113883.10,129153.00
1701,206262.20,114271.00,0.00,121697.10,137492.70
1801,219786.80,121592.60,0.00,129192.20,145822.10
1901,233614.40,128908.80,0.00,137385.40,154946.70
2001,247557.70,136232.10,0.00,144906.30,163745.80
2101,261523.70,144543.10,0.00,152394.80,172193.90
2201,276147.00,151412.50,0.00,160743.40,181148.30
2301,291105.50,159591.70,0.00,168501.30,190376.10
2401,304691.70,166905.60,0.00,176666.00,198569.50
2501,318233.20,174465.00,0.00,184229.80,207483.80
2601,332968.30,182235.30,0.00,192373.50,216650.90
2701,347388.90,189688.10,0.00,200220.20,225190.20
2801,361861.20,197126.90,0.00,208249.30,233836.10
2901,377113.80,205609.70,0.00,216343.50,243152.70
3001,391041.90,212705.40,0.00,224475.50,251741.90
3101,406368.00,221067.40,0.00,232403.20,260417.90
3201,420340.60,229186.90,0.00,240702.00,270017.40
3301,434760.30,236185.00,0.00,248657.60,278207.50
3401,450435.20,244567.30,0.00,256318.00,286960.90
3501,464297.80,252346.50,0.00,264641.10,296086.80
3601,479871.00,260121.20,0.00,272025.80,305040.40
3701,494604.40,268170.30,0.00,280830.10,314061.00
3801,509969.40,276412.00,0.00,288761.40,323147.80
3901,524445.10,284067.80,0.00,297096.50,331653.00
4001,539893.70,292149.10,0.00,305263.90,340950.40
4101,554206.00,300316.00,0.00,313410.60,349988.20
4201,569216.60,307439.60,0.00,321169.40,359022.60
4301,586131.10,316559.40,0.00,329392.60,368176.20
4401,599878.50,323757.30,0.00,337662.00,377698.50
4501,616062.40,332210.40,0.00,345664.10,385850.20
4601,630406.60,339876.30,0.00,354061.30,394848.10
4701,646789.40,348458.50,0.00,362592.60,405002.40
4801,661281.00,355971.30,0.00,370608.50,413531.10
4901,677159.60,365164.20,0.00,378891.70,422101.20
5001,691787.40,372405.80,0.00,386671.20,431126.70
5101,706942.20,381321.50,0.00,394877.90,442214.30
5201,723248.70,389696.80,0.00,403728.10,450926.50
5301,737425.00,397398.10,0.00,412176.60,460013.40
5401,752713.00,405871.70,0.00,420024.50,470344.30
5501,770275.20,414008.50,0.00,428189.20,479443.10
5601,785730.70,420946.90,0.00,437226.60,488832.90
5701,800246.90,429302.40,0.00,445277.90,498879.40
5801,817591.60,439019.80,0.00,453616.30,507434.90
5901,831246.90,446757.10,0.00,462872.40,517276.50
6001,849488.60,454944.70,0.00,471058.70,527135.00
6101,863679.10,462814.30,0.00,479259.70,536949.80
6201,880569.40,471958.00,0.00,487709.10,546101.70
6301,896073.10,480598.50,0.00,497638.40,555019.10
6401,909716.20,488111.00,0.00,505669.60,564151.40
6501,926870.20,496872.30,0.00,514122.60,574163.70
6601,944073.10,504869.00,0.00,522331.70,583419.60
6701,958213.60,513717.10,0.00,531000.10,593052.50
6801,975064.10,521611.50,0.00,540744.30,602624.10
6901,990236.90,529777.90,0.00,549075.80,612198.60
7001,1007253.70,538226.60,0.00,558687.10,621654.40
7101,1022701.50,545670.40,0.00,566601.90,632277.40
7201,1038478.20,554663.50,0.00,575375.90,641008.60
7301,1053821.20,563262.70,0.00,584066.50,651061.90
7401,1070458.80,572925.70,0.00,592367.70,660370.30
7501,1086970.50,579843.90,0.00,600389.00,669325.30
7601,1102611.70,588073.10,0.00,610078.00,678878.60
7701,1118515.30,598732.70,0.00,618576.30,688437.70
7801,1134538.20,605534.80,0.00,627742.40,698652.80
7901,1151172.00,615307.20,0.00,636058.30,707478.00
8001,1168119.20,622910.20,0.00,644063.10,716766.60
8101,1184178.70,631206.40,0.00,654668.60,726961.00
8201,1198619.70,639646.60,0.00,662233.30,737679.40
8301,1214271.10,648431.80,0.00,670592.40,746171.20
8401,1233716.40,655644.50,0.00,679527.20,756782.90
8501,1246766.20,666440.70,0.00,688378.90,766334.30
8601,1265210.70,674078.10,0.00,698202.30,775723.50
8701,1278533.60,681390.10,0.00,706535.00,785579.60
8801,1297094.70,691122.30,0.00,715075.30,794845.60
8901,1314778.50,699498.40,0.00,723253.20,805254.70
9001,1330208.30,708169.00,0.00,731919.20,813671.40
9101,1345335.30,716952.80,0.00,741402.70,824078.10
9201,1361450.60,724575.60,0.00,750405.00,833244.90
9301,1379778.50,734821.30,0.00,758977.70,842697.50
9401,1396077.60,742377.50,0.00,768975.70,853244.10
9501,1412339.90,752673.00,0.00,776729.10,862596.80
9601,1430905.20,757898.90,0.00,785257.70,871374.00
9701,1444966.20,768587.80,0.00,794624.50,881408.50
9801,1461839.60,776959.70,0.00,804144.00,892473.60
9901,1477440.60,786082.20,0.00,811991.00,900706.50
