Tamanho,AVL_Media,RB_Media,B1_Media,B5_Media,B10_Media
1,1.00,0.00,0.00,0.00,0.00
2,20.00,0.00,0.00,0.00,0.00
3,59.20,0.00,0.00,0.00,0.00
4,95.00,0.00,0.00,0.00,0.00
5,148.90,0.00,0.00,0.00,0.00
6,204.70,0.00,0.00,0.00,0.00
7,255.50,0.00,0.00,0.00,0.00
8,341.30,0.00,0.00,0.00,0.00
9,403.30,0.00,0.00,0.00,0.00
10,482.00,0.00,0.00,0.00,0.00
11,619.80,0.00,0.00,0.00,0.00
12,700.60,0.00,0.00,0.00,0.00
13,810.70,0.00,0.00,0.00,0.00
14,911.60,0.00,0.00,0.00,0.00
15,1033.40,0.00,0.00,0.00,0.00
16,1160.60,0.00,0.00,0.00,0.00
17,1306.30,0.00,0.00,0.00,0.00
18,1428.30,0.00,0.00,0.00,0.00
19,1633.20,0.00,0.00,0.00,0.00
20,1744.80,0.00,0.00,0.00,0.00
21,1914.60,0.00,0.00,0.00,0.00
22,2066.90,0.00,0.00,0.00,0.00
23,2265.00,0.00,0.00,0.00,0.00
24,2422.10,0.00,0.00,0.00,0.00
25,2597.70,0.00,0.00,0.00,0.00
26,2832.40,0.00,0.00,0.00,0.00
27,2990.40,0.00,0.00,0.00,0.00
28,3227.30,0.00,0.00,0.00,0.00
29,3398.90,0.00,0.00,0.00,0.00
30,3572.10,0.00,0.00,0.00,0.00
31,3855.30,0.00,0.00,0.00,0.00
32,4044.30,0.00,0.00,0.00,0.00
33,4300.20,0.00,0.00,0.00,0.00
34,4664.10,0.00,0.00,0.00,0.00
35,4797.70,0.00,0.00,0.00,0.00
36,5037.60,0.00,0.00,0.00,0.00
37,5341.80,0.00,0.00,0.00,0.00
38,5673.70,0.00,0.00,0.00,0.00
39,5928.30,0.00,0.00,0.00,0.00
40,6086.30,0.00,0.00,0.00,0.00
41,6432.10,0.00,0.00,0.00,0.00
42,6790.40,0.00,0.00,0.00,0.00
43,7119.60,0.00,0.00,0.00,0.00
44,7367.20,0.00,0.00,0.00,0.00
45,7598.60,0.00,0.00,0.00,0.00
46,8013.60,0.00,0.00,0.00,0.00
47,8416.50,0.00,0.00,0.00,0.00
48,8764.20,0.00,0.00,0.00,0.00
49,9112.20,0.00,0.00,0.00,0.00
50,9322.30,0.00,0.00,0.00,0.00
51,9804.90,0.00,0.00,0.00,0.00
52,10111.20,0.00,0.00,0.00,0.00
53,10387.40,0.00,0.00,0.00,0.00
54,10889.60,0.00,0.00,0.00,0.00
55,11149.70,0.00,0.00,0.00,0.00
56,11588.60,0.00,0.00,0.00,0.00
57,11812.30,0.00,0.00,0.00,0.00
58,12439.30,0.00,0.00,0.00,0.00
59,12587.60,0.00,0.00,0.00,0.00
60,13145.40,0.00,0.00,0.00,0.00
61,13749.30,0.00,0.00,0.00,0.00
62,13900.90,0.00,0.00,0.00,0.00
63,14578.40,0.00,0.00,0.00,0.00
64,15020.40,0.00,0.00,0.00,0.00
65,15318.10,0.00,0.00,0.00,0.00
66,15815.20,0.00,0.00,0.00,0.00
67,16127.00,0.00,0.00,0.00,0.00
68,16525.80,0.00,0.00,0.00,0.00
69,17053.30,0.00,0.00,0.00,0.00
70,17515.40,0.00,0.00,0.00,0.00
71,17957.80,0.00,0.00,0.00,0.00
72,18454.70,0.00,0.00,0.00,0.00
73,18970.40,0.00,0.00,0.00,0.00
74,19535.00,0.00,0.00,0.00,0.00
75,19913.10,0.00,0.00,0.00,0.00
76,20812.10,0.00,0.00,0.00,0.00
77,21114.10,0.00,0.00,0.00,0.00
78,21750.00,0.00,0.00,0.00,0.00
79,21996.00,0.00,0.00,0.00,0.00
80,22330.30,0.00,0.00,0.00,0.00
81,23000.50,0.00,0.00,0.00,0.00
82,23865.30,0.00,0.00,0.00,0.00
83,24075.70,0.00,0.00,0.00,0.00
84,24937.00,0.00,0.00,0.00,0.00
85,25596.10,0.00,0.00,0.00,0.00
86,26180.70,0.00,0.00,0.00,0.00
87,26429.60,0.00,0.00,0.00,0.00
88,27180.20,0.00,0.00,0.00,0.00
89,27727.70,0.00,0.00,0.00,0.00
90,28653.50,0.00,0.00,0.00,0.00
91,29274.70,0.00,0.00,0.00,0.00
92,29557.10,0.00,0.00,0.00,0.00
93,29907.00,0.00,0.00,0.00,0.00
94,30744.70,0.00,0.00,0.00,0.00
95,31729.80,0.00,0.00,0.00,0.00
96,31994.50,0.00,0.00,0.00,0.00
97,32495.20,0.00,0.00,0.00,0.00
98,33660.00,0.00,0.00,0.00,0.00
99,33860.50,0.00,0.00,0.00,0.00
100,34882.10,0.00,0.00,0.00,0.00
101,35210.70,0.00,0.00,0.00,0.00
102,35409.00,0.00,0.00,0.00,0.00
103,36775.80,0.00,0.00,0.00,0.00
104,37667.20,0.00,0.00,0.00,0.00
105,38201.90,0.00,0.00,0.00,0.00
106,39257.20,0.00,0.00,0.00,0.00
107,39901.70,0.00,0.00,0.00,0.00
108,40184.70,0.00,0.00,0.00,0.00
109,40632.00,0.00,0.00,0.00,0.00
110,41362.20,0.00,0.00,0.00,0.00
111,42385.40,0.00,0.00,0.00,0.00
112,43055.90,0.00,0.00,0.00,0.00
113,43895.00,0.00,0.00,0.00,0.00
114,44455.70,0.00,0.00,0.00,0.00
115,44728.10,0.00,0.00,0.00,0.00
116,46148.90,0.00,0.00,0.00,0.00
