Tamanho,AVL_Media,RB_Media,B1_Media,B5_Media,B10_Media
1,0.00,0.00,0.00,7.00,0.00
2,0.00,0.00,0.00,20.50,0.00
3,0.00,0.00,0.00,38.50,0.00
4,0.00,0.00,0.00,58.50,0.00
5,0.00,0.00,0.00,82.50,0.00
6,0.00,0.00,0.00,111.00,0.00
7,0.00,0.00,0.00,136.90,0.00
8,0.00,0.00,0.00,160.20,0.00
9,0.00,0.00,0.00,190.80,0.00
10,0.00,0.00,0.00,223.60,0.00
11,0.00,0.00,0.00,271.70,0.00
12,0.00,0.00,0.00,305.90,0.00
13,0.00,0.00,0.00,339.50,0.00
14,0.00,0.00,0.00,379.00,0.00
15,0.00,0.00,0.00,411.80,0.00
16,0.00,0.00,0.00,445.60,0.00
17,0.00,0.00,0.00,480.20,0.00
18,0.00,0.00,0.00,528.10,0.00
19,0.00,0.00,0.00,563.00,0.00
20,0.00,0.00,0.00,612.40,0.00
21,0.00,0.00,0.00,653.30,0.00
22,0.00,0.00,0.00,687.00,0.00
23,0.00,0.00,0.00,738.30,0.00
24,0.00,0.00,0.00,778.80,0.00
25,0.00,0.00,0.00,810.40,0.00
26,0.00,0.00,0.00,844.10,0.00
27,0.00,0.00,0.00,891.30,0.00
28,0.00,0.00,0.00,931.00,0.00
29,0.00,0.00,0.00,973.00,0.00
30,0.00,0.00,0.00,1018.80,0.00
31,0.00,0.00,0.00,1053.00,0.00
32,0.00,0.00,0.00,1098.50,0.00
33,0.00,0.00,0.00,1147.70,0.00
34,0.00,0.00,0.00,1189.00,0.00
35,0.00,0.00,0.00,1236.90,0.00
36,0.00,0.00,0.00,1261.90,0.00
37,0.00,0.00,0.00,1305.80,0.00
38,0.00,0.00,0.00,1345.60,0.00
39,0.00,0.00,0.00,1399.60,0.00
40,0.00,0.00,0.00,1439.90,0.00
41,0.00,0.00,0.00,1484.70,0.00
42,0.00,0.00,0.00,1533.00,0.00
43,0.00,0.00,0.00,1579.80,0.00
44,0.00,0.00,0.00,1623.10,0.00
45,0.00,0.00,0.00,1678.30,0.00
46,0.00,0.00,0.00,1708.30,0.00
47,0.00,0.00,0.00,1740.80,0.00
48,0.00,0.00,0.00,1806.40,0.00
49,0.00,0.00,0.00,1831.60,0.00
50,0.00,0.00,0.00,1894.00,0.00
51,0.00,0.00,0.00,1927.50,0.00
52,0.00,0.00,0.00,1960.20,0.00
53,0.00,0.00,0.00,2038.40,0.00
54,0.00,0.00,0.00,2076.10,0.00
55,0.00,0.00,0.00,2119.90,0.00
56,0.00,0.00,0.00,2159.10,0.00
57,0.00,0.00,0.00,2195.50,0.00
58,0.00,0.00,0.00,2240.20,0.00
59,0.00,0.00,0.00,2301.70,0.00
60,0.00,0.00,0.00,2351.30,0.00
61,0.00,0.00,0.00,2381.10,0.00
62,0.00,0.00,0.00,2428.60,0.00
63,0.00,0.00,0.00,2472.10,0.00
64,0.00,0.00,0.00,2516.70,0.00
65,0.00,0.00,0.00,2562.10,0.00
66,0.00,0.00,0.00,2609.40,0.00
67,0.00,0.00,0.00,2656.20,0.00
68,0.00,0.00,0.00,2718.40,0.00
69,0.00,0.00,0.00,2755.10,0.00
70,0.00,0.00,0.00,2800.60,0.00
71,0.00,0.00,0.00,2859.30,0.00
72,0.00,0.00,0.00,2887.90,0.00
73,0.00,0.00,0.00,2939.40,0.00
74,0.00,0.00,0.00,2948.20,0.00
75,0.00,0.00,0.00,3014.10,0.00
76,0.00,0.00,0.00,3057.30,0.00
77,0.00,0.00,0.00,3132.20,0.00
78,0.00,0.00,0.00,3183.90,0.00
79,0.00,0.00,0.00,3198.60,0.00
80,0.00,0.00,0.00,3259.30,0.00
81,0.00,0.00,0.00,3309.10,0.00
82,0.00,0.00,0.00,3380.20,0.00
83,0.00,0.00,0.00,3419.00,0.00
84,0.00,0.00,0.00,3470.30,0.00
85,0.00,0.00,0.00,3523.40,0.00
86,0.00,0.00,0.00,3546.20,0.00
87,0.00,0.00,0.00,3594.90,0.00
88,0.00,0.00,0.00,3664.00,0.00
89,0.00,0.00,0.00,3719.80,0.00
90,0.00,0.00,0.00,3728.20,0.00
91,0.00,0.00,0.00,3783.80,0.00
92,0.00,0.00,0.00,3884.80,0.00
93,0.00,0.00,0.00,3915.40,0.00
94,0.00,0.00,0.00,3944.90,0.00
95,0.00,0.00,0.00,4020.20,0.00
96,0.00,0.00,0.00,4081.10,0.00
97,0.00,0.00,0.00,4087.00,0.00
98,0.00,0.00,0.00,4170.30,0.00
99,0.00,0.00,0.00,4198.70,0.00
100,0.00,0.00,0.00,4292.20,0.00
101,0.00,0.00,0.00,4355.10,0.00
102,0.00,0.00,0.00,4343.40,0.00
103,0.00,0.00,0.00,4432.00,0.00
104,0.00,0.00,0.00,4484.20,0.00
105,0.00,0.00,0.00,4541.60,0.00
106,0.00,0.00,0.00,4564.80,0.00
107,0.00,0.00,0.00,4646.30,0.00
108,0.00,0.00,0.00,4676.80,0.00
109,0.00,0.00,0.00,4741.40,0.00
110,0.00,0.00,0.00,4809.90,0.00
111,0.00,0.00,0.00,4852.50,0.00
112,0.00,0.00,0.00,4885.60,0.00
113,0.00,0.00,0.00,4937.70,0.00
114,0.00,0.00,0.00,5032.90,0.00
115,0.00,0.00,0.00,5053.00,0.00
116,0.00,0.00,0.00,5093.50,0.00
117,0.00,0.00,0.00,5154.30,0.00
118,0.00,0.00,0.00,5182.00,0.00
119,0.00,0.00,0.00,5268.80,0.00
120,0.00,0.00,0.00,5318.00,0.00
121,0.00,0.00,0.00,5366.00,0.00
122,0.00,0.00,0.00,5395.10,0.00
123,0.00,0.00,0.00,5497.80,0.00
124,0.00,0.00,0.00,5531.10,0.00
125,0.00,0.00,0.00,5600.70,0.00
126,0.00,0.00,0.00,5627.10,0.00
127,0.00,0.00,0.00,5699.30,0.00
128,0.00,0.00,0.00,5761.00,0.00
129,0.00,0.00,0.00,5770.90,0.00
130,0.00,0.00,0.00,5826.70,0.00
131,0.00,0.00,0.00,5941.10,0.00
132,0.00,0.00,0.00,5928.20,0.00
133,0.00,0.00,0.00,6019.50,0.00
134,0.00,0.00,0.00,6052.70,0.00
135,0.00,0.00,0.00,6124.00,0.00
136,0.00,0.00,0.00,6155.40,0.00
137,0.00,0.00,0.00,6237.20,0.00
138,0.00,0.00,0.00,6249.30,0.00
139,0.00,0.00,0.00,6331.80,0.00
140,0.00,0.00,0.00,6368.20,0.00
141,0.00,0.00,0.00,6439.20,0.00
142,0.00,0.00,0.00,6484.80,0.00
143,0.00,0.00,0.00,6548.70,0.00
144,0.00,0.00,0.00,6601.30,0.00
145,0.00,0.00,0.00,6625.60,0.00
146,0.00,0.00,0.00,6676.50,0.00
147,0.00,0.00,0.00,6773.90,0.00
148,0.00,0.00,0.00,6834.90,0.00
149,0.00,0.00,0.00,6827.60,0.00
150,0.00,0.00,0.00,6917.60,0.00
151,0.00,0.00,0.00,6975.90,0.00
152,0.00,0.00,0.00,7034.70,0.00
153,0.00,0.00,0.00,7063.30,0.00
154,0.00,0.00,0.00,7117.50,0.00
155,0.00,0.00,0.00,7196.20,0.00
156,0.00,0.00,0.00,7253.70,0.00
157,0.00,0.00,0.00,7282.10,0.00
158,0.00,0.00,0.00,7359.70,0.00
159,0.00,0.00,0.00,7398.00,0.00
160,0.00,0.00,0.00,7507.60,0.00
161,0.00,0.00,0.00,7527.00,0.00
162,0.00,0.00,0.00,7571.40,0.00
163,0.00,0.00,0.00,7666.90,0.00
164,0.00,0.00,0.00,7691.80,0.00
165,0.00,0.00,0.00,7711.30,0.00
166,0.00,0.00,0.00,7852.60,0.00
167,0.00,0.00,0.00,7812.60,0.00
168,0.00,0.00,0.00,7936.90,0.00
169,0.00,0.00,0.00,7943.90,0.00
170,0.00,0.00,0.00,7979.10,0.00
171,0.00,0.00,0.00,8088.50,0.00
172,0.00,0.00,0.00,8156.60,0.00
173,0.00,0.00,0.00,8194.70,0.00
174,0.00,0.00,0.00,8205.50,0.00
175,0.00,0.00,0.00,8268.40,0.00
176,0.00,0.00,0.00,8305.20,0.00
177,0.00,0.00,0.00,8394.30,0.00
178,0.00,0.00,0.00,8498.50,0.00
179,0.00,0.00,0.00,8458.20,0.00
180,0.00,0.00,0.00,8542.40,0.00
181,0.00,0.00,0.00,8669.10,0.00
182,0.00,0.00,0.00,8689.90,0.00
183,0.00,0.00,0.00,8738.80,0.00
184,0.00,0.00,0.00,8807.80,0.00
185,0.00,0.00,0.00,8843.70,0.00
186,0.00,0.00,0.00,8915.50,0.00
187,0.00,0.00,0.00,8951.90,0.00
188,0.00,0.00,0.00,9010.70,0.00
189,0.00,0.00,0.00,9063.90,0.00
190,0.00,0.00,0.00,9124.10,0.00
191,0.00,0.00,0.00,9169.10,0.00
192,0.00,0.00,0.00,9239.90,0.00
193,0.00,0.00,0.00,9290.70,0.00
194,0.00,0.00,0.00,9339.10,0.00
195,0.00,0.00,0.00,9406.00,0.00
196,0.00,0.00,0.00,9444.90,0.00
197,0.00,0.00,0.00,9545.00,0.00
198,0.00,0.00,0.00,9540.00,0.00
199,0.00,0.00,0.00,9623.60,0.00
200,0.00,0.00,0.00,9675.90,0.00
201,0.00,0.00,0.00,9742.30,0.00
202,0.00,0.00,0.00,9789.90,0.00
203,0.00,0.00,0.00,9828.90,0.00
204,0.00,0.00,0.00,9920.70,0.00
205,0.00,0.00,0.00,9929.00,0.00
206,0.00,0.00,0.00,10009.30,0.00
207,0.00,0.00,0.00,10032.80,0.00
208,0.00,0.00,0.00,10086.20,0.00
209,0.00,0.00,0.00,10172.80,0.00
210,0.00,0.00,0.00,10231.50,0.00
211,0.00,0.00,0.00,10271.60,0.00
212,0.00,0.00,0.00,10358.30,0.00
213,0.00,0.00,0.00,10407.00,0.00
214,0.00,0.00,0.00,10473.40,0.00
215,0.00,0.00,0.00,10478.20,0.00
216,0.00,0.00,0.00,10535.40,0.00
217,0.00,0.00,0.00,10595.50,0.00
218,0.00,0.00,0.00,10645.80,0.00
219,0.00,0.00,0.00,10751.60,0.00
220,0.00,0.00,0.00,10755.80,0.00
221,0.00,0.00,0.00,10824.80,0.00
222,0.00,0.00,0.00,10894.70,0.00
223,0.00,0.00,0.00,10924.10,0.00
224,0.00,0.00,0.00,10957.50,0.00
225,0.00,0.00,0.00,11105.90,0.00
226,0.00,0.00,0.00,11124.10,0.00
227,0.00,0.00,0.00,11158.90,0.00
228,0.00,0.00,0.00,11253.90,0.00
229,0.00,0.00,0.00,11255.70,0.00
230,0.00,0.00,0.00,11340.80,0.00
231,0.00,0.00,0.00,11422.30,0.00
232,0.00,0.00,0.00,11433.00,0.00
233,0.00,0.00,0.00,11537.00,0.00
234,0.00,0.00,0.00,11551.40,0.00
235,0.00,0.00,0.00,11623.80,0.00
236,0.00,0.00,0.00,11677.30,0.00
237,0.00,0.00,0.00,11791.30,0.00
238,0.00,0.00,0.00,11752.80,0.00
239,0.00,0.00,0.00,11848.40,0.00
240,0.00,0.00,0.00,11931.80,0.00
241,0.00,0.00,0.00,11953.20,0.00
242,0.00,0.00,0.00,12003.70,0.00
243,0.00,0.00,0.00,12085.30,0.00
244,0.00,0.00,0.00,12101.50,0.00
245,0.00,0.00,0.00,12155.70,0.00
246,0.00,0.00,0.00,12253.70,0.00
247,0.00,0.00,0.00,12285.40,0.00
248,0.00,0.00,0.00,12337.70,0.00
249,0.00,0.00,0.00,12398.10,0.00
250,0.00,0.00,0.00,12462.00,0.00
251,0.00,0.00,0.00,12530.70,0.00
252,0.00,0.00,0.00,12580.50,0.00
253,0.00,0.00,0.00,12637.70,0.00
254,0.00,0.00,0.00,12698.40,0.00
255,0.00,0.00,0.00,12742.00,0.00
256,0.00,0.00,0.00,12766.40,0.00
257,0.00,0.00,0.00,12871.70,0.00
258,0.00,0.00,0.00,12874.80,0.00
259,0.00,0.00,0.00,12932.70,0.00
260,0.00,0.00,0.00,13021.20,0.00
261,0.00,0.00,0.00,13074.70,0.00
262,0.00,0.00,0.00,13100.30,0.00
263,0.00,0.00,0.00,13174.80,0.00
264,0.00,0.00,0.00,13251.40,0.00
265,0.00,0.00,0.00,13313.80,0.00
266,0.00,0.00,0.00,13332.90,0.00
267,0.00,0.00,0.00,13379.10,0.00
268,0.00,0.00,0.00,13470.80,0.00
269,0.00,0.00,0.00,13504.50,0.00
270,0.00,0.00,0.00,13569.80,0.00
271,0.00,0.00,0.00,13605.30,0.00
272,0.00,0.00,0.00,13677.60,0.00
273,0.00,0.00,0.00,13778.60,0.00
274,0.00,0.00,0.00,13783.20,0.00
275,0.00,0.00,0.00,13879.60,0.00
276,0.00,0.00,0.00,13894.70,0.00
277,0.00,0.00,0.00,13941.30,0.00
278,0.00,0.00,0.00,14023.70,0.00
279,0.00,0.00,0.00,14055.80,0.00
280,0.00,0.00,0.00,14165.90,0.00
281,0.00,0.00,0.00,14193.10,0.00
282,0.00,0.00,0.00,14280.00,0.00
283,0.00,0.00,0.00,14311.40,0.00
284,0.00,0.00,0.00,14385.10,0.00
285,0.00,0.00,0.00,14445.80,0.00
286,0.00,0.00,0.00,14508.90,0.00
287,0.00,0.00,0.00,14561.10,0.00
288,0.00,0.00,0.00,14585.60,0.00
289,0.00,0.00,0.00,14644.10,0.00
290,0.00,0.00,0.00,14708.80,0.00
291,0.00,0.00,0.00,14746.10,0.00
292,0.00,0.00,0.00,14861.20,0.00
293,0.00,0.00,0.00,14889.10,0.00
294,0.00,0.00,0.00,14923.50,0.00
295,0.00,0.00,0.00,14969.70,0.00
296,0.00,0.00,0.00,15077.30,0.00
297,0.00,0.00,0.00,15072.60,0.00
298,0.00,0.00,0.00,15162.60,0.00
299,0.00,0.00,0.00,15232.50,0.00
300,0.00,0.00,0.00,15291.70,0.00
301,0.00,0.00,0.00,15313.00,0.00
302,0.00,0.00,0.00,15445.80,0.00
303,0.00,0.00,0.00,15468.70,0.00
304,0.00,0.00,0.00,15542.50,0.00
305,0.00,0.00,0.00,15578.90,0.00
306,0.00,0.00,0.00,15633.60,0.00
307,0.00,0.00,0.00,15744.90,0.00
308,0.00,0.00,0.00,15699.60,0.00
309,0.00,0.00,0.00,15786.80,0.00
310,0.00,0.00,0.00,15871.10,0.00
311,0.00,0.00,0.00,15921.40,0.00
312,0.00,0.00,0.00,16011.90,0.00
313,0.00,0.00,0.00,16006.90,0.00
314,0.00,0.00,0.00,16101.60,0.00
315,0.00,0.00,0.00,16179.30,0.00
316,0.00,0.00,0.00,16213.00,0.00
317,0.00,0.00,0.00,16309.20,0.00
318,0.00,0.00,0.00,16312.00,0.00
319,0.00,0.00,0.00,16353.60,0.00
320,0.00,0.00,0.00,16450.00,0.00
321,0.00,0.00,0.00,16409.80,0.00
322,0.00,0.00,0.00,16567.90,0.00
323,0.00,0.00,0.00,16615.80,0.00
324,0.00,0.00,0.00,16680.60,0.00
325,0.00,0.00,0.00,16749.30,0.00
326,0.00,0.00,0.00,16819.70,0.00
327,0.00,0.00,0.00,16916.00,0.00
328,0.00,0.00,0.00,16871.40,0.00
329,0.00,0.00,0.00,16945.70,0.00
330,0.00,0.00,0.00,17038.90,0.00
331,0.00,0.00,0.00,17088.50,0.00
332,0.00,0.00,0.00,17176.30,0.00
333,0.00,0.00,0.00,17171.10,0.00
334,0.00,0.00,0.00,17205.40,0.00
335,0.00,0.00,0.00,17326.40,0.00
336,0.00,0.00,0.00,17441.80,0.00
337,0.00,0.00,0.00,17405.40,0.00
338,0.00,0.00,0.00,17491.90,0.00
339,0.00,0.00,0.00,17553.30,0.00
340,0.00,0.00,0.00,17596.00,0.00
341,0.00,0.00,0.00,17660.30,0.00
342,0.00,0.00,0.00,17731.80,0.00
343,0.00,0.00,0.00,17793.20,0.00
344,0.00,0.00,0.00,17849.10,0.00
345,0.00,0.00,0.00,17859.60,0.00
346,0.00,0.00,0.00,17963.60,0.00
347,0.00,0.00,0.00,18046.30,0.00
348,0.00,0.00,0.00,18074.30,0.00
349,0.00,0.00,0.00,18096.50,0.00
350,0.00,0.00,0.00,18173.50,0.00
351,0.00,0.00,0.00,18293.30,0.00
352,0.00,0.00,0.00,18342.40,0.00
353,0.00,0.00,0.00,18333.10,0.00
354,0.00,0.00,0.00,18369.80,0.00
355,0.00,0.00,0.00,18458.40,0.00
356,0.00,0.00,0.00,18562.10,0.00
357,0.00,0.00,0.00,18621.10,0.00
358,0.00,0.00,0.00,18567.80,0.00
359,0.00,0.00,0.00,18721.00,0.00
360,0.00,0.00,0.00,18768.00,0.00
361,0.00,0.00,0.00,18864.90,0.00
362,0.00,0.00,0.00,18847.30,0.00
363,0.00,0.00,0.00,18945.50,0.00
364,0.00,0.00,0.00,19030.60,0.00
365,0.00,0.00,0.00,19035.20,0.00
366,0.00,0.00,0.00,19127.10,0.00
367,0.00,0.00,0.00,19182.00,0.00
368,0.00,0.00,0.00,19211.10,0.00
369,0.00,0.00,0.00,19260.00,0.00
370,0.00,0.00,0.00,19369.30,0.00
371,0.00,0.00,0.00,19466.60,0.00
372,0.00,0.00,0.00,19456.80,0.00
373,0.00,0.00,0.00,19476.40,0.00
374,0.00,0.00,0.00,19612.90,0.00
375,0.00,0.00,0.00,19652.80,0.00
376,0.00,0.00,0.00,19668.10,0.00
377,0.00,0.00,0.00,19722.40,0.00
378,0.00,0.00,0.00,19833.70,0.00
379,0.00,0.00,0.00,19872.10,0.00
380,0.00,0.00,0.00,19929.90,0.00
381,0.00,0.00,0.00,19961.30,0.00
382,0.00,0.00,0.00,20080.20,0.00
383,0.00,0.00,0.00,20129.70,0.00
384,0.00,0.00,0.00,20200.40,0.00
385,0.00,0.00,0.00,20331.40,0.00
386,0.00,0.00,0.00,20360.80,0.00
387,0.00,0.00,0.00,20406.80,0.00
388,0.00,0.00,0.00,20437.40,0.00
389,0.00,0.00,0.00,20449.80,0.00
390,0.00,0.00,0.00,20539.90,0.00
391,0.00,0.00,0.00,20598.00,0.00
392,0.00,0.00,0.00,20632.40,0.00
393,0.00,0.00,0.00,20722.60,0.00
394,0.00,0.00,0.00,20768.50,0.00
395,0.00,0.00,0.00,20816.60,0.00
396,0.00,0.00,0.00,20823.30,0.00
397,0.00,0.00,0.00,20927.40,0.00
398,0.00,0.00,0.00,21016.30,0.00
399,0.00,0.00,0.00,21067.00,0.00
400,0.00,0.00,0.00,21162.70,0.00
401,0.00,0.00,0.00,21176.70,0.00
402,0.00,0.00,0.00,21228.70,0.00
403,0.00,0.00,0.00,21272.40,0.00
404,0.00,0.00,0.00,21385.20,0.00
405,0.00,0.00,0.00,21427.20,0.00
406,0.00,0.00,0.00,21440.40,0.00
407,0.00,0.00,0.00,21567.00,0.00
408,0.00,0.00,0.00,21546.00,0.00
409,0.00,0.00,0.00,21666.80,0.00
410,0.00,0.00,0.00,21669.10,0.00
411,0.00,0.00,0.00,21775.60,0.00
412,0.00,0.00,0.00,21837.50,0.00
413,0.00,0.00,0.00,21838.00,0.00
414,0.00,0.00,0.00,21953.10,0.00
415,0.00,0.00,0.00,21972.30,0.00
416,0.00,0.00,0.00,22094.00,0.00
417,0.00,0.00,0.00,22118.10,0.00
418,0.00,0.00,0.00,22249.60,0.00
419,0.00,0.00,0.00,22245.10,0.00
420,0.00,0.00,0.00,22301.00,0.00
421,0.00,0.00,0.00,22320.70,0.00
422,0.00,0.00,0.00,22398.30,0.00
423,0.00,0.00,0.00,22519.70,0.00
424,0.00,0.00,0.00,22513.90,0.00
425,0.00,0.00,0.00,22622.70,0.00
426,0.00,0.00,0.00,22666.90,0.00
427,0.00,0.00,0.00,22627.70,0.00
428,0.00,0.00,0.00,22756.80,0.00
429,0.00,0.00,0.00,22838.70,0.00
430,0.00,0.00,0.00,22896.00,0.00
431,0.00,0.00,0.00,22923.40,0.00
432,0.00,0.00,0.00,23024.50,0.00
433,0.00,0.00,0.00,23075.20,0.00
434,0.00,0.00,0.00,23086.60,0.00
435,0.00,0.00,0.00,23157.10,0.00
436,0.00,0.00,0.00,23237.00,0.00
437,0.00,0.00,0.00,23287.70,0.00
438,0.00,0.00,0.00,23331.40,0.00
439,0.00,0.00,0.00,23410.70,0.00
440,0.00,0.00,0.00,23443.70,0.00
441,0.00,0.00,0.00,23535.70,0.00
442,0.00,0.00,0.00,23589.10,0.00
443,0.00,0.00,0.00,23680.90,0.00
444,0.00,0.00,0.00,23732.30,0.00
445,0.00,0.00,0.00,23801.10,0.00
446,0.00,0.00,0.00,23772.00,0.00
447,0.00,0.00,0.00,23913.30,0.00
448,0.00,0.00,0.00,23934.70,0.00
449,0.00,0.00,0.00,23975.90,0.00
450,0.00,0.00,0.00,24103.80,0.00
451,0.00,0.00,0.00,24094.70,0.00
452,0.00,0.00,0.00,24164.90,0.00
453,0.00,0.00,0.00,24188.80,0.00
454,0.00,0.00,0.00,24306.00,0.00
455,0.00,0.00,0.00,24386.00,0.00
456,0.00,0.00,0.00,24410.80,0.00
457,0.00,0.00,0.00,24430.70,0.00
458,0.00,0.00,0.00,24508.50,0.00
459,0.00,0.00,0.00,24528.90,0.00
460,0.00,0.00,0.00,24638.50,0.00
461,0.00,0.00,0.00,24680.70,0.00
462,0.00,0.00,0.00,24710.50,0.00
463,0.00,0.00,0.00,24802.40,0.00
464,0.00,0.00,0.00,24843.50,0.00
465,0.00,0.00,0.00,24907.40,0.00
466,0.00,0.00,0.00,25013.10,0.00
467,0.00,0.00,0.00,25033.70,0.00
468,0.00,0.00,0.00,25103.50,0.00
469,0.00,0.00,0.00,25159.70,0.00
470,0.00,0.00,0.00,25260.30,0.00
471,0.00,0.00,0.00,25277.30,0.00
472,0.00,0.00,0.00,25352.70,0.00
473,0.00,0.00,0.00,25449.40,0.00
474,0.00,0.00,0.00,25422.00,0.00
475,0.00,0.00,0.00,25479.60,0.00
476,0.00,0.00,0.00,25530.20,0.00
477,0.00,0.00,0.00,25682.10,0.00
478,0.00,0.00,0.00,25684.20,0.00
479,0.00,0.00,0.00,25771.10,0.00
480,0.00,0.00,0.00,25868.30,0.00
481,0.00,0.00,0.00,25807.10,0.00
482,0.00,0.00,0.00,25943.80,0.00
483,0.00,0.00,0.00,25932.10,0.00
484,0.00,0.00,0.00,26022.90,0.00
485,0.00,0.00,0.00,26079.10,0.00
486,0.00,0.00,0.00,26149.30,0.00
487,0.00,0.00,0.00,26183.80,0.00
488,0.00,0.00,0.00,26304.10,0.00
489,0.00,0.00,0.00,26366.00,0.00
490,0.00,0.00,0.00,26434.50,0.00
491,0.00,0.00,0.00,26479.80,0.00
492,0.00,0.00,0.00,26441.40,0.00
493,0.00,0.00,0.00,26626.00,0.00
494,0.00,0.00,0.00,26657.40,0.00
495,0.00,0.00,0.00,26671.30,0.00
496,0.00,0.00,0.00,26779.70,0.00
497,0.00,0.00,0.00,26818.20,0.00
498,0.00,0.00,0.00,26829.10,0.00
499,0.00,0.00,0.00,26975.20,0.00
500,0.00,0.00,0.00,26976.20,0.00
501,0.00,0.00,0.00,27033.20,0.00
502,0.00,0.00,0.00,27112.40,0.00
503,0.00,0.00,0.00,27165.80,0.00
504,0.00,0.00,0.00,27325.40,0.00
505,0.00,0.00,0.00,27291.30,0.00
506,0.00,0.00,0.00,27448.40,0.00
507,0.00,0.00,0.00,27445.60,0.00
508,0.00,0.00,0.00,27484.90,0.00
509,0.00,0.00,0.00,27576.60,0.00
510,0.00,0.00,0.00,27562.60,0.00
511,0.00,0.00,0.00,27606.90,0.00
512,0.00,0.00,0.00,27759.20,0.00
513,0.00,0.00,0.00,27744.90,0.00
514,0.00,0.00,0.00,27781.20,0.00
515,0.00,0.00,0.00,27841.00,0.00
516,0.00,0.00,0.00,27884.90,0.00
517,0.00,0.00,0.00,28030.80,0.00
518,0.00,0.00,0.00,28069.40,0.00
519,0.00,0.00,0.00,28150.70,0.00
520,0.00,0.00,0.00,28212.10,0.00
521,0.00,0.00,0.00,28278.90,0.00
522,0.00,0.00,0.00,28289.90,0.00
523,0.00,0.00,0.00,28339.30,0.00
524,0.00,0.00,0.00,28426.00,0.00
525,0.00,0.00,0.00,28379.50,0.00
526,0.00,0.00,0.00,28500.20,0.00
527,0.00,0.00,0.00,28633.50,0.00
