Tamanho,AVL_Media,RB_Media,B1_Media,B5_Media,B10_Media
1,0.00,1.00,0.00,0.00,0.00
2,0.00,8.60,0.00,0.00,0.00
3,0.00,22.00,0.00,0.00,0.00
4,0.00,33.40,0.00,0.00,0.00
5,0.00,47.80,0.00,0.00,0.00
6,0.00,63.70,0.00,0.00,0.00
7,0.00,83.60,0.00,0.00,0.00
8,0.00,97.20,0.00,0.00,0.00
9,0.00,114.90,0.00,0.00,0.00
10,0.00,136.30,0.00,0.00,0.00
11,0.00,156.70,0.00,0.00,0.00
12,0.00,171.70,0.00,0.00,0.00
13,0.00,192.10,0.00,0.00,0.00
14,0.00,202.30,0.00,0.00,0.00
15,0.00,229.40,0.00,0.00,0.00
16,0.00,242.00,0.00,0.00,0.00
17,0.00,274.70,0.00,0.00,0.00
18,0.00,291.60,0.00,0.00,0.00
19,0.00,319.10,0.00,0.00,0.00
20,0.00,334.10,0.00,0.00,0.00
21,0.00,352.00,0.00,0.00,0.00
22,0.00,356.60,0.00,0.00,0.00
23,0.00,397.20,0.00,0.00,0.00
24,0.00,424.00,0.00,0.00,0.00
25,0.00,434.90,0.00,0.00,0.00
26,0.00,461.50,0.00,0.00,0.00
27,0.00,469.00,0.00,0.00,0.00
28,0.00,511.40,0.00,0.00,0.00
29,0.00,525.80,0.00,0.00,0.00
30,0.00,544.40,0.00,0.00,0.00
31,0.00,568.60,0.00,0.00,0.00
32,0.00,592.90,0.00,0.00,0.00
33,0.00,613.90,0.00,0.00,0.00
34,0.00,632.80,0.00,0.00,0.00
35,0.00,652.20,0.00,0.00,0.00
36,0.00,686.00,0.00,0.00,0.00
37,0.00,713.70,0.00,0.00,0.00
38,0.00,730.50,0.00,0.00,0.00
39,0.00,749.50,0.00,0.00,0.00
40,0.00,776.60,0.00,0.00,0.00
41,0.00,785.70,0.00,0.00,0.00
42,0.00,829.50,0.00,0.00,0.00
43,0.00,867.70,0.00,0.00,0.00
44,0.00,889.30,0.00,0.00,0.00
45,0.00,879.30,0.00,0.00,0.00
46,0.00,912.10,0.00,0.00,0.00
47,0.00,920.40,0.00,0.00,0.00
48,0.00,955.80,0.00,0.00,0.00
49,0.00,998.80,0.00,0.00,0.00
50,0.00,1015.00,0.00,0.00,0.00
51,0.00,1033.40,0.00,0.00,0.00
52,0.00,1063.40,0.00,0.00,0.00
53,0.00,1102.00,0.00,0.00,0.00
54,0.00,1120.90,0.00,0.00,0.00
55,0.00,1123.90,0.00,0.00,0.00
56,0.00,1156.90,0.00,0.00,0.00
57,0.00,1184.70,0.00,0.00,0.00
58,0.00,1214.70,0.00,0.00,0.00
59,0.00,1239.90,0.00,0.00,0.00
60,0.00,1242.50,0.00,0.00,0.00
61,0.00,1288.70,0.00,0.00,0.00
62,0.00,1323.90,0.00,0.00,0.00
63,0.00,1321.80,0.00,0.00,0.00
