Tamanho,AVL_Media,RB_Media,B1_Media,B5_Media,B10_Media
1,0.00,0.00,0.00,0.00,0.00
2,13.00,14.50,8.00,8.00,8.00
3,23.80,19.30,13.00,7.20,7.20
4,52.30,55.40,28.00,18.00,18.00
5,61.40,57.90,31.20,22.00,22.00
6,94.40,93.80,49.40,31.60,31.60
7,97.00,89.00,57.20,33.60,33.60
8,133.30,122.10,82.00,48.00,48.00
9,150.10,131.90,88.00,52.80,52.80
10,186.10,161.10,112.40,62.00,62.00
11,189.50,166.20,113.20,96.40,60.80
12,241.80,203.50,143.00,115.60,82.40
13,247.20,223.60,142.60,128.40,84.40
14,289.00,240.80,174.60,148.00,103.60
15,290.80,238.50,178.60,153.00,97.20
16,349.60,296.40,209.80,175.00,116.00
17,345.00,284.00,211.40,167.40,120.00
18,386.10,308.70,246.00,181.60,130.40
19,405.70,341.60,253.30,186.60,131.20
20,452.50,368.60,298.20,209.00,153.20
21,454.20,360.60,295.60,233.20,189.80
22,500.00,408.40,334.00,250.60,220.00
23,520.40,421.10,338.60,259.20,217.00
24,566.30,443.70,371.80,284.00,245.40
25,579.40,451.60,372.80,274.60,252.20
26,624.70,472.30,413.20,315.20,266.40
27,633.40,491.60,416.60,310.40,289.00
28,689.50,545.50,449.50,335.40,302.60
29,711.80,548.10,449.90,341.00,305.40
30,757.40,587.70,486.60,365.80,339.40
31,761.60,581.60,485.70,378.80,353.20
32,814.70,610.90,528.20,396.20,360.80
33,843.80,648.30,522.60,403.00,380.80
34,888.00,668.90,564.50,419.40,396.00
35,901.40,678.70,565.20,430.80,410.40
36,950.60,705.80,625.20,467.20,450.20
37,962.00,712.10,613.60,457.20,427.40
38,1018.30,759.30,656.50,479.20,444.40
39,1031.70,761.30,657.90,488.40,463.80
40,1086.40,824.90,709.20,523.00,495.00
41,1090.10,822.40,696.30,517.40,503.00
42,1149.30,845.20,768.40,554.00,519.20
43,1188.90,855.30,763.50,539.20,549.40
44,1226.90,898.80,792.50,588.20,556.00
45,1223.70,929.20,803.10,599.60,576.80
46,1274.80,964.80,848.70,629.80,596.20
47,1285.30,974.00,865.10,617.20,580.00
48,1362.80,1012.00,911.40,637.80,640.20
49,1385.60,998.60,916.50,645.00,639.60
50,1418.50,1024.20,962.20,694.80,650.60
