Tamanho,AVL_Media,RB_Media,B1_Media,B5_Media,B10_Media
1,0.00,0.00,0.00,0.00,0.00
2,7.00,0.00,0.00,0.00,0.00
3,16.80,0.00,0.00,0.00,0.00
4,45.10,0.00,0.00,0.00,0.00
5,59.00,0.00,0.00,0.00,0.00
6,89.40,0.00,0.00,0.00,0.00
7,110.90,0.00,0.00,0.00,0.00
8,165.40,0.00,0.00,0.00,0.00
9,188.10,0.00,0.00,0.00,0.00
10,253.00,0.00,0.00,0.00,0.00
11,280.90,0.00,0.00,0.00,0.00
12,363.00,0.00,0.00,0.00,0.00
13,404.00,0.00,0.00,0.00,0.00
14,478.70,0.00,0.00,0.00,0.00
15,518.80,0.00,0.00,0.00,0.00
16,634.20,0.00,0.00,0.00,0.00
17,680.00,0.00,0.00,0.00,0.00
18,785.30,0.00,0.00,0.00,0.00
19,840.10,0.00,0.00,0.00,0.00
20,978.70,0.00,0.00,0.00,0.00
21,1034.20,0.00,0.00,0.00,0.00
22,1171.10,0.00,0.00,0.00,0.00
23,1223.50,0.00,0.00,0.00,0.00
24,1390.20,0.00,0.00,0.00,0.00
25,1459.50,0.00,0.00,0.00,0.00
26,1626.90,0.00,0.00,0.00,0.00
27,1708.00,0.00,0.00,0.00,0.00
28,1877.80,0.00,0.00,0.00,0.00
29,1982.70,0.00,0.00,0.00,0.00
30,2145.40,0.00,0.00,0.00,0.00
31,2238.80,0.00,0.00,0.00,0.00
32,2454.80,0.00,0.00,0.00,0.00
33,2541.80,0.00,0.00,0.00,0.00
34,2727.80,0.00,0.00,0.00,0.00
35,2840.30,0.00,0.00,0.00,0.00
36,3086.20,0.00,0.00,0.00,0.00
37,3199.20,0.00,0.00,0.00,0.00
38,3425.10,0.00,0.00,0.00,0.00
39,3545.20,0.00,0.00,0.00,0.00
40,3789.30,0.00,0.00,0.00,0.00
41,3943.00,0.00,0.00,0.00,0.00
42,4166.70,0.00,0.00,0.00,0.00
43,4321.90,0.00,0.00,0.00,0.00
44,4560.30,0.00,0.00,0.00,0.00
45,4750.90,0.00,0.00,0.00,0.00
46,4942.30,0.00,0.00,0.00,0.00
47,5118.90,0.00,0.00,0.00,0.00
48,5431.70,0.00,0.00,0.00,0.00
49,5569.70,0.00,0.00,0.00,0.00
50,5849.70,0.00,0.00,0.00,0.00
51,5999.90,0.00,0.00,0.00,0.00
52,6310.00,0.00,0.00,0.00,0.00
53,6461.90,0.00,0.00,0.00,0.00
54,6916.50,0.00,0.00,0.00,0.00
55,7093.40,0.00,0.00,0.00,0.00
56,7387.90,0.00,0.00,0.00,0.00
57,7539.90,0.00,0.00,0.00,0.00
58,7931.40,0.00,0.00,0.00,0.00
59,8103.80,0.00,0.00,0.00,0.00
60,8470.20,0.00,0.00,0.00,0.00
61,8545.20,0.00,0.00,0.00,0.00
62,9164.90,0.00,0.00,0.00,0.00
63,9155.20,0.00,0.00,0.00,0.00
64,9653.80,0.00,0.00,0.00,0.00
65,9935.40,0.00,0.00,0.00,0.00
66,10335.60,0.00,0.00,0.00,0.00
67,10461.60,0.00,0.00,0.00,0.00
68,10911.80,0.00,0.00,0.00,0.00
69,11054.00,0.00,0.00,0.00,0.00
70,11464.30,0.00,0.00,0.00,0.00
71,11799.00,0.00,0.00,0.00,0.00
72,12090.50,0.00,0.00,0.00,0.00
73,12352.20,0.00,0.00,0.00,0.00
74,12834.60,0.00,0.00,0.00,0.00
75,13031.30,0.00,0.00,0.00,0.00
76,13627.20,0.00,0.00,0.00,0.00
77,13809.70,0.00,0.00,0.00,0.00
78,14178.40,0.00,0.00,0.00,0.00
79,14413.90,0.00,0.00,0.00,0.00
80,14838.50,0.00,0.00,0.00,0.00
81,15265.30,0.00,0.00,0.00,0.00
82,15690.60,0.00,0.00,0.00,0.00
83,15933.60,0.00,0.00,0.00,0.00
84,16504.80,0.00,0.00,0.00,0.00
85,16734.30,0.00,0.00,0.00,0.00
86,17324.10,0.00,0.00,0.00,0.00
87,17572.00,0.00,0.00,0.00,0.00
88,18303.80,0.00,0.00,0.00,0.00
89,18423.90,0.00,0.00,0.00,0.00
90,18847.40,0.00,0.00,0.00,0.00
91,19176.90,0.00,0.00,0.00,0.00
92,19636.60,0.00,0.00,0.00,0.00
93,20088.80,0.00,0.00,0.00,0.00
94,20571.40,0.00,0.00,0.00,0.00
95,20765.70,0.00,0.00,0.00,0.00
96,21310.10,0.00,0.00,0.00,0.00
97,21665.20,0.00,0.00,0.00,0.00
98,22608.90,0.00,0.00,0.00,0.00
99,22701.10,0.00,0.00,0.00,0.00
100,23367.30,0.00,0.00,0.00,0.00
101,23503.10,0.00,0.00,0.00,0.00
102,24123.10,0.00,0.00,0.00,0.00
103,24643.60,0.00,0.00,0.00,0.00
104,25152.20,0.00,0.00,0.00,0.00
105,25438.40,0.00,0.00,0.00,0.00
106,26405.60,0.00,0.00,0.00,0.00
107,26620.20,0.00,0.00,0.00,0.00
108,26913.20,0.00,0.00,0.00,0.00
109,27518.20,0.00,0.00,0.00,0.00
110,27918.70,0.00,0.00,0.00,0.00
111,28438.00,0.00,0.00,0.00,0.00
112,29032.90,0.00,0.00,0.00,0.00
113,29688.90,0.00,0.00,0.00,0.00
114,30079.70,0.00,0.00,0.00,0.00
115,30591.50,0.00,0.00,0.00,0.00
116,31060.10,0.00,0.00,0.00,0.00
117,31406.50,0.00,0.00,0.00,0.00
118,32371.80,0.00,0.00,0.00,0.00
119,32758.70,0.00,0.00,0.00,0.00
120,33670.90,0.00,0.00,0.00,0.00
121,33713.40,0.00,0.00,0.00,0.00
122,34720.70,0.00,0.00,0.00,0.00
123,35348.00,0.00,0.00,0.00,0.00
124,35835.70,0.00,0.00,0.00,0.00
125,36129.50,0.00,0.00,0.00,0.00
126,36990.80,0.00,0.00,0.00,0.00
127,37421.80,0.00,0.00,0.00,0.00
128,37920.50,0.00,0.00,0.00,0.00
129,38497.60,0.00,0.00,0.00,0.00
130,39511.60,0.00,0.00,0.00,0.00
131,39598.10,0.00,0.00,0.00,0.00
132,40236.40,0.00,0.00,0.00,0.00
133,41013.30,0.00,0.00,0.00,0.00
134,41822.50,0.00,0.00,0.00,0.00
135,42252.70,0.00,0.00,0.00,0.00
136,42933.30,0.00,0.00,0.00,0.00
137,43470.50,0.00,0.00,0.00,0.00
138,44066.50,0.00,0.00,0.00,0.00
139,44568.30,0.00,0.00,0.00,0.00
140,45664.40,0.00,0.00,0.00,0.00
141,45750.20,0.00,0.00,0.00,0.00
142,46586.40,0.00,0.00,0.00,0.00
143,47521.80,0.00,0.00,0.00,0.00
144,48061.70,0.00,0.00,0.00,0.00
145,48367.30,0.00,0.00,0.00,0.00
146,49781.10,0.00,0.00,0.00,0.00
147,50156.10,0.00,0.00,0.00,0.00
148,50910.10,0.00,0.00,0.00,0.00
149,51429.90,0.00,0.00,0.00,0.00
150,52197.30,0.00,0.00,0.00,0.00
151,53081.10,0.00,0.00,0.00,0.00
152,53525.00,0.00,0.00,0.00,0.00
153,53385.40,0.00,0.00,0.00,0.00
154,54946.50,0.00,0.00,0.00,0.00
155,55470.80,0.00,0.00,0.00,0.00
156,56950.70,0.00,0.00,0.00,0.00
157,56851.60,0.00,0.00,0.00,0.00
158,58020.90,0.00,0.00,0.00,0.00
159,58431.50,0.00,0.00,0.00,0.00
160,59015.10,0.00,0.00,0.00,0.00
161,59915.00,0.00,0.00,0.00,0.00
162,60720.60,0.00,0.00,0.00,0.00
163,61279.30,0.00,0.00,0.00,0.00
164,61845.80,0.00,0.00,0.00,0.00
165,62989.30,0.00,0.00,0.00,0.00
166,63927.60,0.00,0.00,0.00,0.00
167,64564.40,0.00,0.00,0.00,0.00
168,65859.80,0.00,0.00,0.00,0.00
169,65947.30,0.00,0.00,0.00,0.00
170,66972.40,0.00,0.00,0.00,0.00
171,67410.30,0.00,0.00,0.00,0.00
172,68584.70,0.00,0.00,0.00,0.00
173,68337.20,0.00,0.00,0.00,0.00
174,69750.60,0.00,0.00,0.00,0.00
175,70899.00,0.00,0.00,0.00,0.00
176,71630.60,0.00,0.00,0.00,0.00
177,71698.90,0.00,0.00,0.00,0.00
178,73256.90,0.00,0.00,0.00,0.00
179,73606.90,0.00,0.00,0.00,0.00
180,75689.40,0.00,0.00,0.00,0.00
181,75438.10,0.00,0.00,0.00,0.00
182,76546.60,0.00,0.00,0.00,0.00
183,77154.70,0.00,0.00,0.00,0.00
184,77223.80,0.00,0.00,0.00,0.00
185,78608.40,0.00,0.00,0.00,0.00
186,79601.60,0.00,0.00,0.00,0.00
187,80531.30,0.00,0.00,0.00,0.00
188,81542.80,0.00,0.00,0.00,0.00
189,82703.40,0.00,0.00,0.00,0.00
190,84299.00,0.00,0.00,0.00,0.00
191,84082.10,0.00,0.00,0.00,0.00
192,85048.50,0.00,0.00,0.00,0.00
193,84999.00,0.00,0.00,0.00,0.00
194,86840.00,0.00,0.00,0.00,0.00
195,87807.20,0.00,0.00,0.00,0.00
196,89375.80,0.00,0.00,0.00,0.00
197,89315.10,0.00,0.00,0.00,0.00
198,89844.80,0.00,0.00,0.00,0.00
199,92061.80,0.00,0.00,0.00,0.00
200,91698.40,0.00,0.00,0.00,0.00
201,93101.10,0.00,0.00,0.00,0.00
202,93709.80,0.00,0.00,0.00,0.00
203,95186.70,0.00,0.00,0.00,0.00
204,96538.00,0.00,0.00,0.00,0.00
205,97351.70,0.00,0.00,0.00,0.00
206,97723.40,0.00,0.00,0.00,0.00
207,98239.30,0.00,0.00,0.00,0.00
208,99792.70,0.00,0.00,0.00,0.00
209,100562.80,0.00,0.00,0.00,0.00
210,102344.40,0.00,0.00,0.00,0.00
211,102524.10,0.00,0.00,0.00,0.00
212,104525.20,0.00,0.00,0.00,0.00
213,104475.10,0.00,0.00,0.00,0.00
214,106706.10,0.00,0.00,0.00,0.00
215,107691.30,0.00,0.00,0.00,0.00
216,107316.80,0.00,0.00,0.00,0.00
217,108616.40,0.00,0.00,0.00,0.00
218,109944.40,0.00,0.00,0.00,0.00
219,110108.60,0.00,0.00,0.00,0.00
220,111845.70,0.00,0.00,0.00,0.00
221,113800.90,0.00,0.00,0.00,0.00
222,113196.90,0.00,0.00,0.00,0.00
223,114351.60,0.00,0.00,0.00,0.00
224,115713.40,0.00,0.00,0.00,0.00
225,116221.20,0.00,0.00,0.00,0.00
226,119514.10,0.00,0.00,0.00,0.00
227,118822.90,0.00,0.00,0.00,0.00
228,118674.30,0.00,0.00,0.00,0.00
229,120786.20,0.00,0.00,0.00,0.00
230,122275.20,0.00,0.00,0.00,0.00
231,122600.40,0.00,0.00,0.00,0.00
232,124248.20,0.00,0.00,0.00,0.00
233,125142.80,0.00,0.00,0.00,0.00
234,127380.50,0.00,0.00,0.00,0.00
235,126079.60,0.00,0.00,0.00,0.00
236,129404.20,0.00,0.00,0.00,0.00
237,129149.80,0.00,0.00,0.00,0.00
238,130881.70,0.00,0.00,0.00,0.00
239,130816.60,0.00,0.00,0.00,0.00
240,132147.70,0.00,0.00,0.00,0.00
241,132617.30,0.00,0.00,0.00,0.00
242,135621.80,0.00,0.00,0.00,0.00
243,135887.10,0.00,0.00,0.00,0.00
244,137257.50,0.00,0.00,0.00,0.00
245,138068.90,0.00,0.00,0.00,0.00
246,138919.70,0.00,0.00,0.00,0.00
247,140429.80,0.00,0.00,0.00,0.00
248,142695.30,0.00,0.00,0.00,0.00
249,142179.80,0.00,0.00,0.00,0.00
250,143563.80,0.00,0.00,0.00,0.00
251,143874.50,0.00,0.00,0.00,0.00
252,146153.10,0.00,0.00,0.00,0.00
253,148261.40,0.00,0.00,0.00,0.00
254,147484.10,0.00,0.00,0.00,0.00
255,148963.70,0.00,0.00,0.00,0.00
256,149957.70,0.00,0.00,0.00,0.00
257,152896.90,0.00,0.00,0.00,0.00
258,152668.50,0.00,0.00,0.00,0.00
259,154381.40,0.00,0.00,0.00,0.00
260,155734.80,0.00,0.00,0.00,0.00
261,155727.50,0.00,0.00,0.00,0.00
262,157019.20,0.00,0.00,0.00,0.00
263,160546.90,0.00,0.00,0.00,0.00
264,161043.90,0.00,0.00,0.00,0.00
265,160267.10,0.00,0.00,0.00,0.00
266,163593.60,0.00,0.00,0.00,0.00
267,163964.50,0.00,0.00,0.00,0.00
268,165490.00,0.00,0.00,0.00,0.00
269,166383.20,0.00,0.00,0.00,0.00
270,167448.40,0.00,0.00,0.00,0.00
271,167139.00,0.00,0.00,0.00,0.00
272,170515.20,0.00,0.00,0.00,0.00
273,170076.90,0.00,0.00,0.00,0.00
274,173431.70,0.00,0.00,0.00,0.00
275,174049.40,0.00,0.00,0.00,0.00
276,176059.80,0.00,0.00,0.00,0.00
277,174626.90,0.00,0.00,0.00,0.00
278,177661.20,0.00,0.00,0.00,0.00
279,178079.80,0.00,0.00,0.00,0.00
280,179008.20,0.00,0.00,0.00,0.00
281,181213.10,0.00,0.00,0.00,0.00
282,182723.60,0.00,0.00,0.00,0.00
283,184085.40,0.00,0.00,0.00,0.00
284,184274.00,0.00,0.00,0.00,0.00
285,184921.10,0.00,0.00,0.00,0.00
286,188711.10,0.00,0.00,0.00,0.00
287,188531.10,0.00,0.00,0.00,0.00
288,190062.20,0.00,0.00,0.00,0.00
289,192674.30,0.00,0.00,0.00,0.00
290,193344.30,0.00,0.00,0.00,0.00
291,193721.40,0.00,0.00,0.00,0.00
292,196395.50,0.00,0.00,0.00,0.00
293,198173.90,0.00,0.00,0.00,0.00
294,197379.80,0.00,0.00,0.00,0.00
295,199337.50,0.00,0.00,0.00,0.00
296,202494.00,0.00,0.00,0.00,0.00
297,201653.20,0.00,0.00,0.00,0.00
298,202239.60,0.00,0.00,0.00,0.00
299,206121.10,0.00,0.00,0.00,0.00
300,206123.60,0.00,0.00,0.00,0.00
301,208577.00,0.00,0.00,0.00,0.00
302,209325.30,0.00,0.00,0.00,0.00
303,210064.30,0.00,0.00,0.00,0.00
304,212215.90,0.00,0.00,0.00,0.00
305,213552.50,0.00,0.00,0.00,0.00
306,213291.20,0.00,0.00,0.00,0.00
307,217238.10,0.00,0.00,0.00,0.00
308,219036.30,0.00,0.00,0.00,0.00
309,219283.30,0.00,0.00,0.00,0.00
310,219714.10,0.00,0.00,0.00,0.00
311,221318.70,0.00,0.00,0.00,0.00
312,223830.00,0.00,0.00,0.00,0.00
313,225285.80,0.00,0.00,0.00,0.00
314,225595.90,0.00,0.00,0.00,0.00
315,229226.50,0.00,0.00,0.00,0.00
316,229255.70,0.00,0.00,0.00,0.00
