Tamanho,AVL_Media,RB_Media,B1_Media,B5_Media,B10_Media
1,0.00,0.00,0.00,0.00,0.00
2,0.00,0.00,0.00,8.00,0.00
3,0.00,0.00,0.00,9.40,0.00
4,0.00,0.00,0.00,19.40,0.00
5,0.00,0.00,0.00,20.30,0.00
6,0.00,0.00,0.00,33.90,0.00
7,0.00,0.00,0.00,37.40,0.00
8,0.00,0.00,0.00,51.90,0.00
9,0.00,0.00,0.00,53.30,0.00
10,0.00,0.00,0.00,74.60,0.00
11,0.00,0.00,0.00,91.70,0.00
12,0.00,0.00,0.00,114.00,0.00
13,0.00,0.00,0.00,115.50,0.00
14,0.00,0.00,0.00,136.50,0.00
15,0.00,0.00,0.00,148.60,0.00
16,0.00,0.00,0.00,170.20,0.00
17,0.00,0.00,0.00,161.50,0.00
18,0.00,0.00,0.00,179.40,0.00
19,0.00,0.00,0.00,188.90,0.00
20,0.00,0.00,0.00,213.90,0.00
21,0.00,0.00,0.00,211.50,0.00
22,0.00,0.00,0.00,240.50,0.00
23,0.00,0.00,0.00,243.60,0.00
24,0.00,0.00,0.00,271.30,0.00
25,0.00,0.00,0.00,272.50,0.00
26,0.00,0.00,0.00,291.00,0.00
27,0.00,0.00,0.00,294.80,0.00
28,0.00,0.00,0.00,313.10,0.00
29,0.00,0.00,0.00,315.00,0.00
30,0.00,0.00,0.00,337.10,0.00
31,0.00,0.00,0.00,346.40,0.00
32,0.00,0.00,0.00,370.70,0.00
33,0.00,0.00,0.00,374.90,0.00
34,0.00,0.00,0.00,397.50,0.00
35,0.00,0.00,0.00,401.90,0.00
36,0.00,0.00,0.00,423.00,0.00
37,0.00,0.00,0.00,420.10,0.00
38,0.00,0.00,0.00,445.50,0.00
39,0.00,0.00,0.00,457.00,0.00
40,0.00,0.00,0.00,477.90,0.00
41,0.00,0.00,0.00,484.00,0.00
42,0.00,0.00,0.00,511.30,0.00
43,0.00,0.00,0.00,514.40,0.00
44,0.00,0.00,0.00,533.50,0.00
45,0.00,0.00,0.00,539.30,0.00
46,0.00,0.00,0.00,576.60,0.00
47,0.00,0.00,0.00,560.50,0.00
48,0.00,0.00,0.00,583.70,0.00
49,0.00,0.00,0.00,601.70,0.00
50,0.00,0.00,0.00,611.20,0.00
51,0.00,0.00,0.00,617.40,0.00
52,0.00,0.00,0.00,647.00,0.00
53,0.00,0.00,0.00,648.50,0.00
54,0.00,0.00,0.00,674.90,0.00
55,0.00,0.00,0.00,681.80,0.00
56,0.00,0.00,0.00,710.80,0.00
57,0.00,0.00,0.00,708.30,0.00
58,0.00,0.00,0.00,742.40,0.00
59,0.00,0.00,0.00,746.30,0.00
