Tamanho,AVL_Media,RB_Media,B1_Media,B5_Media,B10_Media
1,0.00,0.00,0.00,0.00,0.00
2,0.00,4.40,0.00,0.00,0.00
3,0.00,4.40,0.00,0.00,0.00
4,0.00,18.50,0.00,0.00,0.00
5,0.00,16.00,0.00,0.00,0.00
6,0.00,25.30,0.00,0.00,0.00
7,0.00,24.10,0.00,0.00,0.00
8,0.00,37.70,0.00,0.00,0.00
9,0.00,35.90,0.00,0.00,0.00
10,0.00,43.20,0.00,0.00,0.00
11,0.00,43.50,0.00,0.00,0.00
12,0.00,59.60,0.00,0.00,0.00
13,0.00,62.70,0.00,0.00,0.00
14,0.00,81.40,0.00,0.00,0.00
15,0.00,70.90,0.00,0.00,0.00
16,0.00,84.40,0.00,0.00,0.00
17,0.00,78.70,0.00,0.00,0.00
18,0.00,85.50,0.00,0.00,0.00
19,0.00,90.20,0.00,0.00,0.00
20,0.00,98.50,0.00,0.00,0.00
21,0.00,100.90,0.00,0.00,0.00
22,0.00,115.10,0.00,0.00,0.00
23,0.00,114.90,0.00,0.00,0.00
24,0.00,120.80,0.00,0.00,0.00
25,0.00,117.20,0.00,0.00,0.00
26,0.00,135.70,0.00,0.00,0.00
27,0.00,136.20,0.00,0.00,0.00
28,0.00,136.60,0.00,0.00,0.00
29,0.00,132.40,0.00,0.00,0.00
30,0.00,155.50,0.00,0.00,0.00
31,0.00,164.00,0.00,0.00,0.00
32,0.00,163.80,0.00,0.00,0.00
33,0.00,157.30,0.00,0.00,0.00
34,0.00,175.90,0.00,0.00,0.00
35,0.00,183.20,0.00,0.00,0.00
36,0.00,189.40,0.00,0.00,0.00
37,0.00,180.70,0.00,0.00,0.00
38,0.00,186.70,0.00,0.00,0.00
39,0.00,198.30,0.00,0.00,0.00
40,0.00,202.30,0.00,0.00,0.00
41,0.00,219.10,0.00,0.00,0.00
42,0.00,234.10,0.00,0.00,0.00
43,0.00,221.80,0.00,0.00,0.00
44,0.00,238.50,0.00,0.00,0.00
45,0.00,239.90,0.00,0.00,0.00
46,0.00,238.60,0.00,0.00,0.00
47,0.00,231.00,0.00,0.00,0.00
48,0.00,259.30,0.00,0.00,0.00
49,0.00,255.20,0.00,0.00,0.00
50,0.00,259.50,0.00,0.00,0.00
51,0.00,243.20,0.00,0.00,0.00
52,0.00,277.10,0.00,0.00,0.00
53,0.00,269.20,0.00,0.00,0.00
54,0.00,285.70,0.00,0.00,0.00
55,0.00,281.90,0.00,0.00,0.00
56,0.00,298.50,0.00,0.00,0.00
57,0.00,288.50,0.00,0.00,0.00
58,0.00,314.10,0.00,0.00,0.00
59,0.00,299.70,0.00,0.00,0.00
60,0.00,314.20,0.00,0.00,0.00
61,0.00,303.90,0.00,0.00,0.00
62,0.00,332.20,0.00,0.00,0.00
63,0.00,328.70,0.00,0.00,0.00
64,0.00,358.90,0.00,0.00,0.00
65,0.00,326.00,0.00,0.00,0.00
66,0.00,345.40,0.00,0.00,0.00
67,0.00,354.20,0.00,0.00,0.00
68,0.00,354.90,0.00,0.00,0.00
69,0.00,366.80,0.00,0.00,0.00
70,0.00,375.90,0.00,0.00,0.00
71,0.00,377.10,0.00,0.00,0.00
72,0.00,388.10,0.00,0.00,0.00
73,0.00,379.60,0.00,0.00,0.00
74,0.00,400.80,0.00,0.00,0.00
75,0.00,391.20,0.00,0.00,0.00
76,0.00,398.10,0.00,0.00,0.00
77,0.00,403.70,0.00,0.00,0.00
78,0.00,425.10,0.00,0.00,0.00
79,0.00,432.00,0.00,0.00,0.00
80,0.00,430.30,0.00,0.00,0.00
81,0.00,426.00,0.00,0.00,0.00
82,0.00,444.80,0.00,0.00,0.00
83,0.00,429.30,0.00,0.00,0.00
84,0.00,432.80,0.00,0.00,0.00
85,0.00,445.10,0.00,0.00,0.00
86,0.00,451.10,0.00,0.00,0.00
87,0.00,454.50,0.00,0.00,0.00
88,0.00,468.20,0.00,0.00,0.00
89,0.00,481.30,0.00,0.00,0.00
90,0.00,485.00,0.00,0.00,0.00
91,0.00,481.30,0.00,0.00,0.00
92,0.00,479.40,0.00,0.00,0.00
93,0.00,469.20,0.00,0.00,0.00
94,0.00,510.00,0.00,0.00,0.00
95,0.00,498.90,0.00,0.00,0.00
96,0.00,510.50,0.00,0.00,0.00
97,0.00,510.80,0.00,0.00,0.00
98,0.00,518.90,0.00,0.00,0.00
99,0.00,526.70,0.00,0.00,0.00
100,0.00,526.30,0.00,0.00,0.00
101,0.00,524.70,0.00,0.00,0.00
102,0.00,553.90,0.00,0.00,0.00
103,0.00,562.40,0.00,0.00,0.00
104,0.00,571.20,0.00,0.00,0.00
105,0.00,559.80,0.00,0.00,0.00
106,0.00,549.90,0.00,0.00,0.00
107,0.00,554.40,0.00,0.00,0.00
108,0.00,571.10,0.00,0.00,0.00
109,0.00,568.90,0.00,0.00,0.00
110,0.00,585.60,0.00,0.00,0.00
111,0.00,594.00,0.00,0.00,0.00
112,0.00,596.50,0.00,0.00,0.00
113,0.00,583.90,0.00,0.00,0.00
114,0.00,613.30,0.00,0.00,0.00
115,0.00,601.90,0.00,0.00,0.00
116,0.00,613.30,0.00,0.00,0.00
117,0.00,601.60,0.00,0.00,0.00
118,0.00,622.40,0.00,0.00,0.00
119,0.00,625.70,0.00,0.00,0.00
120,0.00,629.10,0.00,0.00,0.00
121,0.00,647.70,0.00,0.00,0.00
122,0.00,635.90,0.00,0.00,0.00
123,0.00,632.80,0.00,0.00,0.00
124,0.00,690.30,0.00,0.00,0.00
125,0.00,670.60,0.00,0.00,0.00
126,0.00,671.70,0.00,0.00,0.00
127,0.00,680.60,0.00,0.00,0.00
128,0.00,677.40,0.00,0.00,0.00
129,0.00,694.30,0.00,0.00,0.00
130,0.00,703.10,0.00,0.00,0.00
131,0.00,668.00,0.00,0.00,0.00
132,0.00,713.10,0.00,0.00,0.00
133,0.00,696.00,0.00,0.00,0.00
134,0.00,724.30,0.00,0.00,0.00
135,0.00,723.10,0.00,0.00,0.00
136,0.00,724.80,0.00,0.00,0.00
137,0.00,714.10,0.00,0.00,0.00
138,0.00,728.40,0.00,0.00,0.00
139,0.00,745.00,0.00,0.00,0.00
140,0.00,744.60,0.00,0.00,0.00
141,0.00,773.60,0.00,0.00,0.00
142,0.00,766.80,0.00,0.00,0.00
143,0.00,787.00,0.00,0.00,0.00
